Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,NOX,NO,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
MUSHAIRIF,05/05/2023,12:00:00,4.48,,,9.62,15.37,5.75,,,63.3,,,,,,0.61,,,,,85.0,,,29.5836,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,13:00:00,4.15,,,18.89,21.99,3.1,,,58.51,,,,,,0.4,,,,,93.0,,,29.1277,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,14:00:00,4.15,,,12.11,14.54,2.43,,,70.11,,,,,,0.27,,,,,107.0,,,30.774165,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,15:00:00,4.68,,,8.83,11.12,2.29,,,76.92,,,,,,0.22,,,,,122.0,,,40.719,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,16:00:00,3.71,,,7.5,9.62,2.12,,,74.4,,,,,,0.36,,,,,123.0,,,39.888,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,17:00:00,4.18,,,13.1,15.28,2.18,,,63.05,,,,,,0.51,,,,,117.0,,,32.775395,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,18:00:00,4.96,,,24.08,26.0,1.92,,,51.41,,,,,,0.77,,,,,110.0,,,35.234399999999994,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,19:00:00,5.75,,,34.83,36.54,1.71,,,44.52,,,,,,0.61,,,,,102.0,,,26.205075,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,20:00:00,3.77,,,29.5,31.53,2.03,,,53.82,,,,,,0.48,,,,,93.0,,,29.7498,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,21:00:00,4.34,,,30.75,32.9,2.15,,,61.11,,,,,,0.44,,,,,86.0,,,22.852500000000003,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,22:00:00,4.38,,,43.0,44.65,1.65,,,51.05,,,,,,0.36,,,,,79.0,,,24.4314,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,05/05/2023,23:00:00,5.58,,,30.75,32.32,1.57,,,47.28,,,,,,0.47,,,,,68.0,,,22.9356,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,06/05/2023,00:00:00,4.15,,,14.5,16.4,1.9,,,56.33,,,,,,0.35,,,,,70.0,,,21.07298,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,06/05/2023,01:00:00,5.04,,,19.25,21.42,2.17,,,56.08,,,,,,0.74,,,,,78.0,,,27.423,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,06/05/2023,02:00:00,3.29,,,17.0,18.76,1.76,,,66.89,,,,,,0.93,,,,,87.0,,,25.12299,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,06/05/2023,03:00:00,4.97,,,8.01,9.91,1.9,,,74.69,,,,,,1.26,,,,,87.0,,,24.758545,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,06/05/2023,04:00:00,6.42,,,8.3,10.2,1.9,,,65.64,,,,,,1.65,,,,,83.0,,,26.2596,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,06/05/2023,05:00:00,6.86,,,11.32,12.77,1.45,,,50.8,,,,,,0.89,,,,,75.0,,,21.64252,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,06/05/2023,06:00:00,6.17,,,15.59,18.64,3.05,,,31.94,,,,,,0.77,,,,,77.0,,,26.4258,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,06/05/2023,07:00:00,7.65,,,26.41,43.04,16.63,,,15.84,,,,,,0.85,,,,,82.0,,,28.5864,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,06/05/2023,08:00:00,6.63,,,45.27,53.650000000000006,8.38,,,12.32,,,,,,1.08,,,,,90.0,,,31.578,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,06/05/2023,09:00:00,6.29,,,42.5,50.41,7.91,,,20.62,,,,,,1.83,,,,,100.0,,,28.624005,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,06/05/2023,10:00:00,6.59,,,28.42,33.63,5.21,,,33.45,,,,,,1.41,,,,,113.0,,,39.5556,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,06/05/2023,11:00:00,6.58,,,20.67,24.94,4.27,,,42.34,,,,,,0.75,,,,,125.0,,,41.55,,,,,,,,,,,,,,,,,,,,
