Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.,DATA COUNT
Baniyas School,04/01/2023,04:00:00,7.49,,5.34,70.02,,63.48,19.3,,16.95,,,,,,,,,42.2,,61.9,17.5,,19.18,17.66,18.16,1017.6,55.49,3.18,1.57,3.87,,,,,,,,,50.78,,,
Baniyas School,04/01/2023,05:00:00,7.33,,5.34,56.57,,63.48,28.14,,13.2,,,,,,,,,40.8,,61.9,16.8,,19.18,17.14,17.77,1017.2,55.67,33.3,1.02,3.28,,,,,,,,,50.06,,,
Baniyas School,04/01/2023,06:00:00,3.21,,5.34,64.7,,63.48,14.84,,12.26,,,,,,,,,34.0,,61.9,16.5,,19.18,16.7,17.62,1017.5,55.11,341.9,0.99,5.32,,,,,,,,,56.17,,,
Baniyas School,04/01/2023,07:00:00,3.04,,5.34,82.41,,63.48,4.35,,11.07,,,,,,,,,37.8,,61.9,15.5,,19.18,16.62,17.35,1017.6,54.21,19.28,0.95,5.8,,,,,,,,,53.29,,,
Baniyas School,04/01/2023,08:00:00,3.03,,5.34,89.63,,63.48,5.54,,11.14,,,,,,,,,40.5,,61.9,16.2,,19.18,17.52,17.84,1018.0,52.54,42.93,1.05,5.15,,,,,,,,,55.72,,,
Baniyas School,04/01/2023,09:00:00,3.37,,5.34,94.02,,63.48,6.05,,11.19,,,,,,,,,56.4,,61.9,18.5,,19.18,19.81,19.34,1018.2,48.76,66.44,1.34,4.57,,,,,,,,,55.08,,,
Baniyas School,04/01/2023,10:00:00,3.53,,5.34,53.74,,63.48,38.82,,15.42,,,,,,,,,76.9,,61.9,16.2,,19.18,21.18,20.53,1018.2,43.64,77.19,2.53,4.26,,,,,,,,,55.99,,,
Baniyas School,04/01/2023,11:00:00,3.84,,5.34,24.31,,63.48,79.47,,24.56,,,,,,,,,88.3,,61.9,20.3,,19.18,24.31,23.0,1018.2,39.19,108.82,2.24,4.37,,,,,,,,,57.6,,,
Baniyas School,04/01/2023,12:00:00,7.07,,5.34,15.04,,63.48,94.4,,33.95,,,,,,,,,82.7,,61.9,23.5,,19.18,25.98,24.7,1017.4,37.43,144.73,3.27,4.68,,,,,,,,,56.51,,,
Baniyas School,04/01/2023,13:00:00,6.79,,5.34,10.14,,63.48,106.94,,43.8,,,,,,,,,70.8,,61.9,21.5,,19.18,27.55,26.16,1016.6,33.81,152.36,3.24,4.47,,,,,,,,,59.73,,,
