vlookup,SO2,NO2,Daily_Avg_8h_WHO,Daily_Avg_8h_NS,Daily_Avg_8h_C0,PM10,PM2.5
Al Ha07012023,7.9,21.8,17.4,17.4,,19.8,5.5
Al Ha08012023,8.3,27.0,16.3,16.3,,25.6,6.7
Al Ha09012023,8.4,23.5,,,,25.9,7.2
Al Ha10012023,8.0,31.7,24.0,24.0,,85.9,23.3
Al Ha11012023,7.7,22.1,35.5,35.5,,24.2,6.4
Al Ha12012023,8.4,37.1,20.4,20.4,,43.2,11.7
Al Ha13012023,8.0,26.1,25.8,25.8,,39.5,10.3
Al Ha14012023,7.6,20.6,29.3,29.3,,29.7,8.0
Al Ha15012023,6.7,24.2,27.9,27.9,,24.7,6.6
Al Ha16012023,6.8,17.3,31.7,31.7,,30.0,8.3
Al Ha17012023,8.2,18.9,,,,45.1,12.0
Al Ha18012023,8.1,16.4,32.2,32.2,,30.1,8.0
Al Ha19012023,7.2,20.5,37.5,37.5,,25.9,7.0
Al Ha20012023,8.0,25.8,22.5,22.5,,30.1,8.1
Al Ha21012023,8.8,25.7,21.9,21.9,,27.7,7.4
Al Ha22012023,9.1,20.8,26.4,26.4,,20.4,5.6
Al Ha23012023,7.8,18.4,35.8,35.8,,21.6,5.6
Al Ha24012023,7.4,24.9,21.7,21.7,,18.2,4.9
Al Ha25012023,6.8,18.7,33.0,33.0,,34.7,9.2
Al Ha26012023,7.2,15.6,25.6,25.6,,17.9,4.8
Al Ha27012023,7.5,23.2,22.5,22.5,,15.6,4.1
Al Ha28012023,8.5,25.6,,,,17.6,4.9
Al Ha29012023,8.1,23.3,25.5,25.5,,30.6,8.1
Al Ha30012023,7.2,32.1,33.6,33.6,,45.4,12.3
Al Ha31012023,7.7,24.4,22.1,22.1,,39.9,10.6
Al Ha01022023,8.0,30.8,35.7,35.7,,51.1,13.5
Al Ha02022023,7.8,18.0,28.9,28.9,,43.3,11.3
Al Ha03022023,8.3,19.6,26.5,26.5,,64.3,16.4
Al Ha04022023,8.1,30.0,31.0,31.0,,45.2,11.6
Al Ha05022023,8.4,27.7,27.6,27.6,,55.4,14.3
Al Ha06022023,8.1,19.8,28.1,28.1,,62.0,15.7
Al Ha07022023,8.4,15.2,25.9,25.9,,73.3,18.9
Al Ha08022023,8.3,24.2,,,,77.1,19.5
Al Ha09022023,8.1,12.0,46.8,46.8,,71.0,18.4
Al Ha10022023,8.3,22.6,36.3,36.3,,46.5,11.9
Al Ha11022023,7.9,31.4,41.7,41.7,,45.6,11.7
Al Ha12022023,7.5,39.7,34.4,34.4,,53.7,13.8
Al Ha13022023,7.7,37.5,33.4,33.4,,55.6,14.3
Al Ha14022023,7.6,26.1,37.2,37.2,,90.3,23.1
Al Ha15022023,7.5,33.5,25.4,25.4,,89.3,23.2
Al Ha16022023,7.3,39.8,17.6,17.6,,92.4,23.6
Al Ha17022023,8.1,22.4,41.2,41.2,,57.0,14.6
Al Ha18022023,8.5,17.6,,,,56.3,14.4
Al Ha19022023,9.1,23.2,40.7,40.7,,43.5,11.2
Al Ha20022023,8.0,13.6,57.0,57.0,,27.8,7.0
Al Ha21022023,8.0,29.0,34.9,34.9,,20.6,5.3
Al Ha22022023,8.4,20.0,39.0,39.0,,34.3,8.9
Al Ha23022023,8.4,20.4,31.4,31.4,,56.4,14.6
Al Ha24022023,8.5,30.6,,,,61.7,15.9
Al Ha25022023,8.1,33.8,30.6,30.6,,81.3,21.0
Al Ha26022023,8.2,53.8,23.6,23.6,,67.4,17.2
Al Ha27022023,7.8,36.4,30.6,30.6,,42.5,10.8
Al Ha28022023,6.4,36.6,,,,44.8,12.1
Al Ha01032023,8.2,31.5,,,,42.3,9.5
Al Ha02032023,8.3,26.7,23.7,23.7,,48.3,12.5
Al Ha03032023,8.1,25.1,37.0,37.0,,42.4,10.8
Al Ha04032023,7.7,25.0,46.9,46.9,,29.9,8.0
Al Ha05032023,7.9,44.8,25.9,25.9,,31.3,8.3
Al Ha06032023,7.4,54.0,32.3,32.3,,32.9,9.0
Al Ha07032023,7.0,23.1,52.3,52.3,,55.1,14.8
Al Ha08032023,7.3,27.9,37.6,37.6,,59.3,15.8
Al Ha09032023,8.2,17.0,18.2,18.2,,30.0,8.0
Al Ha10032023,7.1,24.7,24.9,24.9,,46.2,12.6
Al Ha11032023,7.8,22.2,28.5,28.5,,44.3,11.8
Al Ha12032023,7.7,24.5,31.3,31.3,,43.8,11.9
Al Ha13032023,8.0,21.4,,,,51.9,13.8
Al Ha14032023,7.5,27.4,38.4,38.4,,53.1,14.3
Al Ha15032023,7.1,26.0,26.9,26.9,,30.9,8.2
Al Ha16032023,7.1,23.4,20.2,20.2,,43.1,11.7
Al Ha17032023,7.4,20.4,41.4,41.4,,43.0,11.4
Al Ha18032023,7.1,33.5,34.4,34.4,,33.5,9.0
Al Ha19032023,7.7,37.9,32.4,32.4,,35.0,9.5
Al Ha20032023,8.0,35.2,26.1,26.1,,41.9,11.5
Al Ha21032023,7.2,33.4,30.8,30.8,,40.8,10.8
Al Ha22032023,7.8,14.4,,,,34.0,8.9
Al Ha23032023,7.5,11.1,63.1,63.1,,22.9,6.1
Al Ha24032023,8.0,25.2,70.6,70.6,,29.7,7.9
Al Ha25032023,8.2,36.3,43.6,43.6,,33.4,8.9
Al Ha26032023,7.6,34.2,23.0,23.0,,28.5,7.8
Al Ha27032023,7.8,29.0,,,,32.5,8.8
Al Ha28032023,7.3,52.5,31.2,31.2,,63.9,17.0
Al Ha29032023,8.2,22.6,55.3,55.3,,47.7,12.8
Al Ha30032023,7.0,17.8,32.8,32.8,,42.3,11.2
Al Ha31032023,8.0,14.3,36.1,36.1,,45.2,12.4
Al Ha01042023,7.7,17.3,35.2,35.2,,41.2,9.3
Al Ha02042023,7.0,11.0,37.3,37.3,,39.7,10.0
Al Ha03042023,8.2,17.9,34.9,34.9,,38.2,9.9
Al Ha04042023,7.8,18.0,,,,41.9,11.5
Al Ha05042023,7.9,24.5,32.9,32.9,,42.5,11.3
Al Ha06042023,8.3,44.2,19.3,19.3,,47.7,12.9
Al Ha07042023,8.0,59.6,19.0,19.0,,44.8,12.0
Al Ha08042023,7.7,41.0,27.6,27.6,,36.3,9.8
Al Ha09042023,6.8,30.5,37.4,37.4,,45.1,12.0
Al Ha10042023,6.9,37.4,26.9,26.9,,56.5,15.3
Al Ha11042023,7.5,48.6,26.0,26.0,,56.9,15.1
